frequency,raw
940.59,-0.27
950.00,-0.22
959.50,-0.18
969.09,-0.13
978.78,-0.09
988.57,-0.05
998.46,-0.01
1008.44,0.04
1018.53,0.08
1028.71,0.12
1039.00,0.16
1049.39,0.20
1059.88,0.24
1070.48,0.28
1081.19,0.32
1092.00,0.36
1102.92,0.39
1113.95,0.43
1125.09,0.46
1136.34,0.49
1147.70,0.52
1159.18,0.55
1170.77,0.58
1182.48,0.60
1194.30,0.63
1206.25,0.66
1218.31,0.68
1230.49,0.71
1242.80,0.73
1255.22,0.76
1267.78,0.78
1280.45,0.81
1293.26,0.83
1306.19,0.86
1319.25,0.88
1332.45,0.91
1345.77,0.93
1359.23,0.95
1372.82,0.98
1386.55,1.00
1400.41,1.02
1414.42,1.04
1428.56,1.07
1442.85,1.09
1457.28,1.12
1471.85,1.14
1486.57,1.17
1501.43,1.20
1516.45,1.22
1531.61,1.26
1546.93,1.30
1562.40,1.34
1578.02,1.38
1593.80,1.42
1609.74,1.46
1625.84,1.51
1642.10,1.56
1658.52,1.61
1675.10,1.66
1691.85,1.71
1708.77,1.76
1725.86,1.81
1743.12,1.86
1760.55,1.90
1778.15,1.95
1795.94,2.00
1813.90,2.05
1832.03,2.09
1850.36,2.13
1868.86,2.17
1887.55,2.21
1906.42,2.25
1925.49,2.29
1944.74,2.33
1964.19,2.36
1983.83,2.40
2003.67,2.44
2023.71,2.47
2043.94,2.51
2064.38,2.55
2085.03,2.59
2105.88,2.62
2126.94,2.66
2148.20,2.70
2169.69,2.74
2191.38,2.80
2213.30,2.85
2235.43,2.90
2257.78,2.96
2280.36,3.01
2303.17,3.07
2326.20,3.12
2349.46,3.18
2372.95,3.23
2396.68,3.29
2420.65,3.33
2444.86,3.33
2469.31,3.33
2494.00,3.33
2518.94,3.33
2544.13,3.33
2569.57,3.34
2595.27,3.34
2621.22,3.34
2647.43,3.30
2673.90,3.24
2700.64,3.19
2727.65,3.13
2754.93,3.08
2782.48,3.02
2810.30,2.94
2838.40,2.86
2866.79,2.77
2895.46,2.69
2924.41,2.61
2953.65,2.50
2983.19,2.38
3013.02,2.27
3043.15,2.15
3073.58,2.03
3104.32,1.88
3135.36,1.73
3166.72,1.57
3198.38,1.41
3230.37,1.22
3262.67,1.01
3295.30,0.80
3328.25,0.59
3361.53,0.36
3395.15,0.12
3429.10,-0.11
3463.39,-0.36
3498.03,-0.61
3533.01,-0.87
3568.34,-1.15
3604.02,-1.42
3640.06,-1.71
3676.46,-2.01
3713.22,-2.32
3750.36,-2.65
3787.86,-2.98
3825.74,-3.32
3864.00,-3.67
3902.64,-4.09
3941.66,-4.50
3981.08,-4.91
4020.89,-5.31
4061.10,-5.69
4101.71,-5.91
4142.73,-6.12
4184.15,-6.32
4226.00,-6.34
4268.26,-6.21
4310.94,-6.09
4354.05,-5.94
4397.59,-5.52
4441.56,-5.04
4485.98,-4.53
4530.84,-4.05
4576.15,-3.55
4621.91,-3.05
4668.13,-2.55
4714.81,-2.07
4761.96,-1.61
4809.58,-1.16
4857.67,-0.71
4906.25,-0.35
4955.31,0.00
5004.87,0.27
5054.91,0.54
5105.46,0.78
5156.52,0.89
5208.08,0.99
5260.16,1.10
5312.77,1.18
5365.89,1.11
5419.55,1.04
5473.75,0.97
5528.49,0.90
5583.77,0.83
5639.61,0.73
5696.00,0.62
5752.96,0.50
5810.49,0.39
5868.60,0.27
5927.28,0.27
5986.56,0.29
6046.42,0.30
6106.89,0.32
6167.96,0.34
6229.64,0.35
6291.93,0.44
6354.85,0.60
6418.40,0.76
6482.58,0.92
6547.41,1.09
6612.88,1.29
6679.01,1.49
6745.80,1.70
6813.26,1.95
6881.39,2.20
6950.21,2.47
7019.71,2.78
7089.91,3.08
7160.81,3.46
7232.41,3.85
7304.74,4.26
7377.79,4.66
7451.56,5.05
7526.08,5.42
7601.34,5.78
7677.35,6.11
7754.13,6.36
7831.67,6.61
7909.98,6.80
7989.08,6.88
8068.98,6.96
8149.67,7.04
8231.16,7.12
8313.47,7.01
8396.61,6.91
8480.57,6.81
8565.38,6.71
8651.03,6.48
8737.54,6.22
8824.92,5.97
8913.17,5.65
9002.30,5.33
9092.32,4.99
9183.25,4.65
9275.08,4.35
9367.83,4.10
9461.51,3.86
9556.12,3.64
9651.68,3.55
9748.20,3.46
9845.68,3.37
9944.14,3.28
10043.58,3.19
10144.02,3.10
10245.46,3.00
10347.91,2.91
10451.39,2.82
10555.91,2.67
10661.46,2.48
10768.08,2.28
10875.76,2.09
10984.52,1.84
11094.36,1.60
11205.31,1.37
11317.36,1.18
11430.53,1.00
11544.84,0.82
11660.29,0.67
11776.89,0.67
11894.66,0.68
12013.60,0.68
12133.74,0.69
12255.08,0.69
12377.63,0.71
12501.41,0.77
12626.42,0.83
12752.68,0.88
12880.21,0.94
13009.01,0.95
13139.10,0.96
13270.49,0.98
13403.20,0.99
13537.23,1.00
13672.60,1.01
13809.33,1.02
13947.42,1.11
14086.90,1.26
14227.77,1.41
14370.04,1.56
14513.74,1.79
14658.88,2.03
14805.47,2.27
14953.52,2.53
15103.06,2.79
15254.09,3.06
15406.63,3.32
15560.70,3.58
15716.30,3.79
15873.47,3.99
16032.20,4.18
16192.52,4.36
16354.45,4.34
16517.99,4.31
16683.17,4.29
16850.01,4.27
17018.51,4.25
17188.69,4.22
17360.58,4.07
17534.18,3.87
17709.53,3.67
17886.62,3.47
18065.49,3.29
18246.14,3.12
18428.60,2.94
18612.89,2.76
18799.02,2.69
18987.01,2.63
19176.88,2.57
19368.65,2.51
19562.33,2.46
19757.96,2.40
19955.54,2.34
