20.29,82.94
21.47,83.29
22.54,83.62
23.68,83.96
24.99,84.34
26.25,84.65
27.72,85.00
29.23,85.28
30.99,85.54
32.64,85.73
34.25,85.87
36.10,86.02
38.47,86.16
40.72,86.31
42.64,86.40
45.15,86.53
47.31,86.66
49.89,86.86
52.41,87.13
55.82,87.58
58.80,88.00
61.91,88.36
65.05,88.66
68.70,88.91
71.99,89.11
76.26,89.30
80.42,89.48
85.03,89.64
89.90,89.79
93.80,89.87
99.22,89.99
103.56,90.07
109.54,90.17
115.84,90.26
122.09,90.37
129.32,90.43
140.00,90.48
147.32,90.48
155.03,90.48
161.31,90.48
176.62,90.48
181.70,90.48
196.57,90.38
210.55,90.38
224.65,90.26
238.91,90.10
249.32,89.93
266.54,89.53
285.48,88.95
302.72,88.32
321.51,87.53
336.59,86.86
354.92,85.99
374.61,85.07
403.33,83.80
423.30,82.98
446.14,82.17
471.15,81.48
500.28,81.04
524.08,80.97
548.29,81.19
584.17,81.87
621.49,82.72
654.86,83.55
697.57,84.33
729.92,84.42
783.61,83.63
819.57,83.22
867.82,83.32
911.04,83.64
982.02,84.13
1037.78,84.36
1092.05,84.62
1162.81,84.87
1228.27,85.03
1306.19,85.23
1377.59,85.39
1446.43,85.54
1519.87,85.70
1599.35,85.98
1670.16,86.25
1773.73,86.61
1864.78,86.89
1956.23,87.13
2068.28,87.38
2174.90,87.64
2283.73,88.01
2411.66,88.35
2560.11,88.45
2690.57,88.20
2840.78,87.71
2972.81,87.18
3140.70,86.24
3259.65,85.32
3362.65,84.51
3456.54,83.60
3532.86,82.86
3638.43,81.84
3743.68,80.71
3819.20,79.83
3885.22,78.96
3963.70,77.93
4043.74,76.93
4191.00,76.03
4328.56,76.62
4402.14,77.59
4476.93,78.61
4552.98,79.64
4630.30,80.72
4708.94,81.78
4789.00,82.71
4870.45,83.62
5009.61,84.71
5199.90,85.55
5506.87,85.37
5861.94,84.49
6167.10,84.47
6437.24,85.19
6694.87,86.18
6898.14,87.02
7055.20,88.06
7195.53,88.98
7317.99,89.82
7442.52,90.66
7590.62,91.54
7851.82,92.68
8252.18,93.12
8622.02,92.36
8846.05,91.42
9050.21,90.49
9259.08,89.55
9512.96,88.74
10169.22,88.02
10642.19,87.27
10980.82,86.31
11297.95,85.47
11789.73,84.84
12448.79,84.97
13055.13,85.32
13790.17,85.43
14455.11,86.36
14826.77,87.14
15037.12,87.67
15731.22,89.09
16329.27,89.73
17354.87,89.24
17949.35,88.30
18744.66,87.43
19297.82,87.21
